travel_level,zone,loads,sequence,mean_loads,loads_rate,mean_seq,describe
一级运输,999Y,"[7825.26, 5128.55, 5031.33, 4622.54, 4833.82, 5207.18, 7825.26]","[6, 7, 7, 7, 7, 8, 8]",5781.9914285714285,0.006851264072293133,7.142857142857143,0.69%一级运输 999Y 5781.99
一级运输,666Y,"[7998.64, 6357.88, 7464.5, 8901.94, 7937.09, 6750.56, 6405.43, 5378.25, 7314.47, 8901.94]","[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",7341.07,0.008698665462327677,7.0,0.87%一级运输 666Y 7341.07
一级运输,111Y,"[10349.118129479992, 11315.34843367755, 10785.665059386649, 13903.482550289295, 10838.052103025142, 12387.117685402878, 9904.622536505549, 11730.202750163819, 9811.380188394269, 9149.199484505563, 10843.988595279325, 9706.023630618609, 11268.062419557764, 14186.110180035728, 9738.53607481743, 12350.822124732858, 10974.261946609455, 5834.01863119802, 12002.846011867294, 14819.396817065872, 9713.336871324207, 6831.149289527356, 14311.635514270594, 4986.071023014418, 8191.841559217131, 17983.86489972611, 13754.628978405435, 11062.938667377577, 10275.132609067367, 9912.329974417322, 10782.034914965609, 9616.764439351811, 5824.681452598032, 11905.69110939622, 9947.419409307255, 12226.420546712612]","[5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",10811.783239202558,0.012811223084512822,5.972222222222222,1.28%一级运输 111Y 10811.78
一级运输,898Y,"[13013.873592599384, 11612.990858500965, 8162.353254779113, 10595.91499824727, 13622.384641044431, 15037.617330155685, 11676.203616458284, 10024.487904884592, 10386.1785504008, 10805.304317210694, 16830.443874459117, 11305.958303214047, 16489.098511613833, 11877.650155894305, 9437.916578556338, 10414.837275643737, 10023.670092770291, 11074.864603749458, 11137.530192450444, 11509.493499488757, 14727.119369578662, 7533.326300991811, 9838.579795620319, 17983.86489972611]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",11880.069271584935,0.014077068909954025,6.0,1.41%一级运输 898Y 11880.07
一级运输,771Y,"[21396.866856578545, 31910.775339642907, 30041.180170448704, 31816.137169515197, 21227.02728761721, 33178.03790216871, 22986.154595386608, 23019.58020335864, 33992.46681265964, 28271.16528558497, 24433.895539830355, 20190.327620070897, 32697.699228639605, 25071.78483391728, 23437.0313028714, 22731.967399461373, 25383.37020855311, 25021.302298235383, 25968.05714571903, 24681.382688312926, 21304.069541069985, 21624.71822245685, 19285.282226345447, 8512.990725566257, 24860.40994609415, 22503.718010962708, 23520.632637422135, 21442.000963299397, 22954.57813417165, 24826.337551364042, 19162.815641344478, 12146.381676181121, 23900.4042622078, 23429.303030326137, 23657.900688617618, 13052.936239008754, 13636.69445672718, 12863.742820132582, 23272.415780802246, 23650.321674554994, 20623.00308481229, 26784.766394139082, 32631.89282207398, 12378.047425504514, 23684.56820418151, 19447.58424193378, 18360.90785911894, 18462.843110619848, 23201.634091482163, 23569.70550965693, 18099.456750372192, 15968.932877120464, 19941.961504968374, 20820.231585336915, 15809.43360415048, 20056.74957025163, 21367.736576051193, 18287.539022766534, 17243.50910529532, 18574.80355687099, 33992.46681265964]","[5, 4, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 4, 6, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5]",22399.53504633763,0.026541915807882985,4.836065573770492,2.65%一级运输 771Y 22399.54
一级运输,K755Y,"[47868.8138705249, 33695.109381306334, 37095.257480978595, 65187.54913754382, 43692.069827773186, 54121.98660840164, 43876.592238793, 50141.422233098594, 17952.65874592179, 54440.05766765548, 42933.13911745825, 50254.3480392467, 49193.270331387575, 45498.573775740595, 45845.05232392435, 20482.429474777287, 48549.81999691034, 38743.13253145542, 58508.46117477073, 30745.805660522106, 48140.05267116779, 40075.68023664727, 33116.18133888448, 23061.339092115675, 56213.35682045619, 57216.518342879615, 54444.96217162568, 50470.38260148576, 46106.43573456984, 22540.98950512123, 36377.573785186694, 44928.703898087115, 46699.078842088114, 46311.37791566709, 49233.25026064708, 17455.12138022088, 21342.403989723818, 31304.155454805878, 56129.832882251714, 55882.28445698861, 49573.46312234172, 71960.41374304525, 31836.222638874995, 25330.457777925905, 46989.37990742686, 21590.427274709426, 56414.16154316378, 43438.958784199625, 45258.71045102549, 41364.86636565646, 25530.156321606417, 41419.5424603133, 42331.35357159359, 46198.27360592103, 37918.88154054724, 51869.62124302289, 32786.00496954398, 30943.92130273603, 49563.424901518316, 49274.75389394936, 101223.10994657884]","[4, 3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 5, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 1, 4]",43585.103874828055,0.05164536474218759,3.8688524590163933,5.16%一级运输 K755Y 43585.1
一级运输,K010Y,"[63869.900179861725, 48540.570032876356, 60442.39137892652, 52305.61822535036, 84492.52235781983, 91162.63778472925, 64136.60390745935, 76780.08219951103, 23169.785828907865, 101994.18152269619, 46085.291818998754, 82326.75871520479, 80566.8687654752, 73906.89890949475, 96644.74086413218, 11973.686624403208, 63957.70256066823, 98242.50143615896, 73477.48559704256, 97056.77968629335, 63467.77467531547, 44270.00904102371, 36866.618926879324, 58676.00884205347, 92985.54017148427, 66008.77562977294, 83389.10765276974, 78727.53314499033, 54997.33559206429, 31328.664017093324, 55720.679599309966, 51448.593241666305, 69989.49314151813, 65023.819560204465, 59501.30219033988, 39003.10056803419, 23241.066926635, 22886.75811456969, 83274.55592775892, 90458.04189678775, 88334.56853665333, 85685.81901623879, 54024.190390645264, 28813.342079223185, 79057.28864528383, 45499.65786100859, 92018.44374743948, 73416.19276547324, 92336.1536465952, 58964.186497281844, 38425.766409040116, 65468.23201419034, 80905.02577125026, 71775.13779456634, 74839.55723660438, 93463.98748986427, 62002.74322870259, 62631.52860789746, 44974.336134905396, 138815.7921548753]","[3, 2, 2, 4, 2, 3, 3, 2, 3, 2, 3, 3, 2, 3, 2, 5, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 1, 3, 4, 2, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 4, 3]",66564.16228806702,0.07887397607215066,2.8333333333333335,7.89%一级运输 K010Y 66564.16
一级运输,K021Y,"[101244.24382593598, 26072.090723922847, 94350.08633807256, 125559.08669838804, 112467.38707214339, 142087.61334749823, 115329.77511302987, 115378.63699318674, 14106.166505159434, 117543.03002740214, 100247.0651383162, 136460.36496953914, 96812.7460080132, 139453.46435322627, 81928.12865007672, 27123.301173001877, 129095.35826964921, 107309.37586935071, 116966.83674607535, 103382.6876573746, 126678.63534309322, 109314.6906848709, 15074.132613031854, 101311.57599363835, 132627.52192721528, 130480.83412990793, 134612.95685535338, 113693.7067384268, 97695.54589735942, 51400.21272875782, 110953.84192651602, 99937.4706638596, 96756.228308509, 102986.03114825429, 119128.32047588998, 36315.138353754446, 26138.060337190873, 58961.70892450208, 96691.22580214191, 126384.75640281884, 112701.12898476058, 136140.98797017493, 95363.34511840125, 22108.66429172527, 85200.82614656484, 92248.6733042888, 122677.48005662452, 94076.71784554119, 129888.73298029919, 88341.25587734363, 34631.108153255074, 110469.32961230555, 120275.81906237782, 116506.92175561463, 121761.41403086852, 127015.98763563475, 84625.66134753573, 67422.01472949081, 123254.28909715277, 16378.71799165182, 199474.94854021177]","[2, 5, 1, 1, 1, 1, 2, 1, 5, 1, 2, 1, 1, 1, 3, 2, 1, 2, 1, 2, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 2, 1, 2, 2, 1, 1, 1, 2, 1, 1, 4, 2, 1, 1, 2, 1, 1, 3, 1, 1, 1, 1, 1, 1, 2, 1, 4, 2]",98206.95188961111,0.11636851583796858,1.6229508196721312,11.64%一级运输 K021Y 98206.95
一级运输,K027Y,"[107448.1868633001, 52666.8282366053, 50216.59338764485, 124828.43787481509, 65939.08687633584, 106198.69448083399, 151506.22893543504, 74113.21636677996, 54842.90149010757, 82121.02722371189, 113898.0691028535, 111867.35376341482, 77499.76183366783, 90401.47307346323, 97372.84841082904, 37942.13469114853, 73513.5836679743, 130000.30641372953, 96334.67405514796, 123735.41910716676, 111926.35773503802, 101867.81741704463, 25170.807628647945, 99579.7258780266, 124463.79220181453, 94663.52442245229, 111019.62565328175, 100823.27577458075, 87860.18795921953, 27097.864673068816, 140409.01470051304, 102538.89276306718, 82029.71414328793, 105384.08523672466, 95293.4810060272, 20502.537734162535, 68105.66891283442, 35234.56769382589, 83194.19238616193, 112415.8271890474, 114380.82418727769, 110788.85082025085, 67626.14670003296, 58213.88869648514, 102411.06164677214, 75965.85868886262, 117796.22876527319, 100645.45650691749, 96463.49883180579, 84760.91190702726, 69637.02553309074, 81591.78691128614, 110689.83757550859, 99268.49799982156, 100388.37833903448, 118111.3640673245, 80323.8726828355, 78234.44387448565, 114332.77500008876, 17747.540005952844, 234485.72292664432]","[1, 1, 3, 2, 3, 2, 1, 3, 1, 3, 1, 2, 3, 2, 1, 1, 2, 1, 2, 1, 2, 2, 3, 2, 2, 2, 2, 2, 2, 3, 1, 1, 2, 1, 2, 3, 1, 2, 3, 2, 1, 2, 2, 1, 1, 2, 2, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 1, 2, 3, 1]",91571.99604312412,0.10850654731486425,1.8360655737704918,10.85%一级运输 K027Y 91572.0
二级运输,111Y,"[46834.32890028838, 39700.83383651977, 52527.127379590835, 55063.02628766783, 33167.65174989062, 36606.036115917996, 40537.6193253503, 35123.34631286583, 32973.10844326744, 36530.802617451285, 36480.684444434, 45856.73028661143, 35237.44954827977, 38291.8784389386, 35765.79285519343, 29030.275813093976, 24521.75238722797, 33960.593291304285, 28247.92876845702, 28005.755725599753, 28637.067137157406, 21805.474829115876, 23464.096329599284, 23267.576007916243, 28925.039894920563, 35674.47227219962, 32289.873524197978, 47288.05069714188, 38565.34873588791, 26428.77323946495, 22845.87522530272, 30384.38381727921, 26257.16986707138, 30342.011411451575, 24779.300844914393, 34011.67564287974, 17317.239171966023, 24022.94660417227, 29333.39068634122, 35424.12682983116, 28405.698337589776, 30309.509884700452, 29821.75527246476, 21347.932196508267, 28038.330238220744, 5365.899612486476, 29699.45539864891, 34119.50239341016, 31048.39314041425, 27005.600362882833, 25721.798818528863, 29164.527043830065, 31461.197105285915, 28667.972696285375, 27410.50818663587, 33477.31071805069, 32106.07421461595, 30188.24991290718, 31040.669015994255, 35201.30864678797, 83599.33388582397]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",32438.15807178417,0.03843699696100905,3.0,3.84%二级运输 111Y 32438.16
